ID,Company,Initiative,Type,CIQ,CIQ_name,Country,Industry,Ultimate_parent,Count_member,Count_group,Country_listed,Country_match
653,123 Investment Managers,UNPRI,General,IQ743962,123 Investment Managers,FR,Financials,123 Investment Managers,1,1,FR,TRUE
654,1291 Die Schweizer Anlagestiftung,UNPRI,General,IQ579349860,1291 Die Schweizer Anlagestiftung - Anlagegruppe Immobilien Schweiz,CH,Financials,1291 Die Schweizer Anlagestiftung - Anlagegruppe Immobilien Schweiz,1,1,CH,TRUE
655,12Tree Finance GmbH,UNPRI,General,IQ682146807,12tree Gmbh,DE,0,12tree Gmbh,1,1,DE,TRUE
656,13D Management LLC,UNPRI,General,IQ172280622,13D Management LLC,US,Financials,13D Management LLC,1,1,US,TRUE
657,1618 Investimentos,UNPRI,General,IQ613371032,Dezesseis Dezoito Gestão de Recursos. Ltda.,BR,Financials,Cbh Holding Sa,1,1,BR,TRUE
658,17Capital LLP,UNPRI,General,IQ52901662,17Capital LLP,GB,Financials,Brookfield Corporation,1,5,GB,TRUE
659,1919 Investment Counsel,UNPRI,General,IQ59705013,"1919 Investment Counsel, LLC",US,Financials,Stifel Financial Corp.,1,1,US,TRUE
660,1Sharpe Capital LLC,UNPRI,General,IQ545710557,1Sharpe Capital LLC,US,Financials,1Sharpe Capital LLC,1,1,US,TRUE
661,2050,UNPRI,General,n/a,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,FR,FALSE
662,21 Invest,UNPRI,General,IQ618561,21 Invest S.p.A,IT,Financials,21 Invest S.p.A,1,1,IT,TRUE
663,27four Investment Managers,UNPRI,General,IQ128985239,27four Investment Managers (Pty) Ltd,ZA,Financials,27four Investment Managers (Pty) Ltd,2,2,ZA,TRUE
6240,27four Investment Managers,CA100+,Climate change,IQ128985239,27four Investment Managers (Pty) Ltd,ZA,Financials,27four Investment Managers (Pty) Ltd,2,2,ZA,TRUE
664,2Xideas AG,UNPRI,General,IQ225433185,2Xideas AG,CH,Financials,2Xideas AG,1,1,CH,TRUE
9013,3 Bank*,PCAF,Climate Change,IQ27061560,3 Banken-Generali Investment-Gesellschaft m.b.H.,AT,Financials,Bank für Tirol und Vorarlberg AG,2,2,RS,FALSE
665,3 Banken-Generali Investment-Gesellschaft m.b.H.,UNPRI,General,IQ27061560,3 Banken-Generali Investment-Gesellschaft m.b.H.,AT,Financials,Bank für Tirol und Vorarlberg AG,2,2,AT,TRUE
666,337 Frontier Capital,UNPRI,General,IQ383661224,"337 Frontier Capital, LP",US,Financials,"337 Frontier Capital, LP",1,1,US,TRUE
667,360 Capital,UNPRI,General,IQ224433375,360 Capital,CN,Financials,360 Security Technology Inc.,1,1,FR,FALSE
668,36ONE Asset Management,UNPRI,General,IQ39481970,36ONE Asset Management (Pty) Limited,ZA,Financials,36ONE Asset Management (Pty) Limited,1,1,ZA,TRUE
669,3B Future Health GP Sarl,UNPRI,General,IQ709121977,3B Future Health GP S.A.R.L.,LU,0,3B Future Health GP S.A.R.L.,1,1,LU,TRUE
670,3CC | Third Culture Capital,UNPRI,General,IQ709926018,3Cc Beteiligungs Gmbh,DE,Financials,3Cc Beteiligungs Gmbh,1,1,US,FALSE
671,3i Group plc,UNPRI,General,IQ18511,3i Group plc,GB,Financials,3i Group plc,1,1,GB,TRUE
672,3J GESTORA DE RECURSOS LTDA,UNPRI,General,IQ611995787,3J Gestora De Recursos Ltda.,BR,0,3J Gestora De Recursos Ltda.,1,1,BR,TRUE
8079,3Keel,TNFD Forum,Climate Change,IQ667661025,3Keel Llp,GB,0,3Keel Llp,1,1,,
673,3KOMMA1 Investment Management GmbH (provisional signatory),UNPRI,General,IQ676255589,3KOMMA1 Verwaltungs GmbH,DE,Financials,3KOMMA1 Verwaltungs GmbH,1,1,DE,TRUE
674,3one4 Capital Advisors LLP,UNPRI,General,IQ326447781,3one4Capital Advisors LLP,IN,Financials,3one4Capital Advisors LLP,1,1,IN,TRUE
675,3x5 Partners,UNPRI,General,IQ325237846,"3x5 Partners, LLC",US,Financials,"3x5 Partners, LLC",1,1,US,TRUE
381,40|86 Advisors,Ceres Investor Network on Climate Risk and Sustainability,General,IQ4842821,"40/86 Advisors, Inc.",US,Financials,"CNO Financial Group, Inc.",1,2,,
676,400 Capital Management,UNPRI,General,IQ51626291,400 Capital Management LLC,US,Financials,400 Capital Management LLC,1,1,US,TRUE
677,4BIO Partners LLP,UNPRI,General,IQ606981316,"4BIO Partners, LLP",GB,Financials,"4BIO Partners, LLP",1,1,GB,TRUE
678,4D Infrastructure Pty Ltd,UNPRI,General,IQ550923879,4D Infrastructure Pty Limited,AU,0,4D Infrastructure Pty Limited,1,1,AU,TRUE
679,4Founders Capital,UNPRI,General,IQ409939228,"4Founders Capital SGEIC, S.A.",ES,Financials,"4Founders Capital SGEIC, S.A.",1,1,ES,TRUE
680,4impact capital,UNPRI,General,IQ606234846,4impact,NL,Financials,4impact,1,1,NL,TRUE
681,4UM Gestão de Recursos Ltda.,UNPRI,General,IQ307336809,4UM Gestão de Recursos Ltda.,BR,0,Paraná Banco S.A.,1,1,BR,TRUE
682,5 Capitals Environmental & Management Consultancies,UNPRI,General,IQ216298588,5 Capitals Environmental & Management Consulting,AE,Industrials,5 Capitals Environmental & Management Consulting,1,1,AE,TRUE
683,50 PARTNERS GESTION,UNPRI,General,IQ225017515,50 Partners Gestion SARL,FR,Financials,50 Partners Gestion SARL,1,1,FR,TRUE
10081,57 Stars,Global Impact Investment Network,,IQ21988313,57 Stars LLC,US,Financials,57 Stars LLC,1,1,,
684,5Square,UNPRI,General,IQ113889231,5square BV,NL,Financials,5square BV,1,1,NL,TRUE
685,5Y Capital,UNPRI,General,IQ13290069,5Y Capital,CN,Financials,The Morningside Group Limited,1,1,CN,TRUE
8080,7 Satya,TNFD Forum,Climate Change,n/a,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,,
686,747 Capital,UNPRI,General,IQ30219178,"747 Capital, LLC",US,Financials,"747 Capital, LLC",1,1,US,TRUE
687,7iM,UNPRI,General,IQ54797067,7IM Investment Funds - 7IM AAP Balanced Fund,GB,Financials,Capita plc,1,3,GB,TRUE
688,7orca Asset Management AG,UNPRI,General,IQ550097340,7Orca Asset Management Ag,DE,Consumer Discretionary,7Orca Asset Management Ag,1,1,DE,TRUE
689,8 Miles,UNPRI,General,IQ109314372,8 Miles LLP,GB,Financials,8 Miles LLP,1,1,GB,TRUE
690,8a+ Investimenti SGR S.p.A.,UNPRI,General,IQ146292002,8a+ Investimenti SGR S.p.A.,IT,Financials,8a+ Investimenti SGR S.p.A.,1,1,IT,TRUE
347,8F Asset Management,Sustainable Blue Finance,Biodiversity,IQ606921924,8F Asset Management Pte. Ltd.,SG,Financials,8F Asset Management Pte. Ltd.,2,2,,
691,8F Asset Management,UNPRI,General,IQ606921924,8F Asset Management Pte. Ltd.,SG,Financials,8F Asset Management Pte. Ltd.,2,2,GB,FALSE
692,90 North Real Estate Partners LLP,UNPRI,General,IQ181932663,90 North Real Estate Partners LLP,GB,Financials,90 North Real Estate Partners LLP,1,1,GB,TRUE
693,9606 Group LLC,UNPRI,General,IQ1778165203,9606 Fund III LP,US,0,9606 Fund III LP,1,1,US,TRUE
694,9fin,UNPRI,General,IQ547745303,9fin Limited,GB,Information Technology,9fin Limited,1,1,GB,TRUE
695,A Plus Finance SAS,UNPRI,General,IQ126310,A Plus Finance SA,FR,Financials,A Plus Finance SA,1,1,FR,TRUE
696,A&G Banca Privada,UNPRI,General,IQ311369202,A&G Banco S.A.U,ES,Financials,Asesores Y Gestores Financieros SA,1,1,ES,TRUE
697,A&J Wealth Management,UNPRI,General,IQ549804639,A & J Wealth Management Limited,GB,Financials,A & J Wealth Management Limited,1,1,GB,TRUE
10990,a. s. r. Asset Management,Institutional Investor Group on Climate Change,Climate,IQ630753151,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,NL,Financials,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,4,4,,
698,A.P. Møller Capital P/S,UNPRI,General,IQ548301600,A.P. Møller Capital P/S,DK,Financials,A.P. Møller Og Hustru Chastine Mc-Kinney Møllers Fond Til Almene Formaal,2,2,DK,TRUE
9014,a.s.r.,PCAF,Climate Change,IQ630753151,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,NL,Financials,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,4,4,NL,TRUE
7568,a.s.r. Asset Management,Net Zero Asset Managers Initiative,Climate change,IQ630753151,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,NL,Financials,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,4,4,,
8968,a.s.r. asset management,PBAF,Biodiversity,IQ630753151,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,NL,Financials,ASR Nederland Belegingsbeheer N V. - ASR Amerika Aandelen Basisfonds,4,4,NL,TRUE
6980,A/S Arbejdernes Landsbank,Principles for Responsible Banking,General,IQ5579626,A/S Arbejdernes Landsbank,DK,Financials,A/S Arbejdernes Landsbank,2,2,DK,TRUE
8081,A1 Telekom Austria Group,TNFD Forum,Climate Change,IQ1434623,A1 Telekom Austria AG,AT,Communication Services,"América Móvil, S.A.B. de C.V.",1,1,,
6884,A10 Investimentos,FAIRR,General,IQ249329307,A10 Investimentos Ltda.,BR,Financials,A10 Investimentos Ltda.,1,1,BR,TRUE
699,AAC Capital Benelux,UNPRI,General,IQ556648347,Aac Capital Benelux Fund Iii Coöperatieve Wa,NL,Financials,Aac Capital Benelux Fund Iii Coöperatieve Wa,1,1,NL,TRUE
700,AAG Investment Management Pty Ltd,UNPRI,General,IQ1803358757,Aag Investment Management Pty Ltd,AU,0,Aag Investment Management Pty Ltd,1,1,AU,TRUE
701,Aalto University Foundation,UNPRI,General,IQ98236602,Aalto University,FI,Consumer Discretionary,Aalto University,1,1,FI,TRUE
9015,Aareal Bank Group,PCAF,Climate Change,IQ875930,Aareal Bank AG,DE,Financials,Aareal Bank AG,1,1,DE,TRUE
702,Aargauische Kantonalbank (Cantonal Bank of Aargau),UNPRI,General,IQ6466154,Aargauische Kantonalbank,CH,Financials,Aargauische Kantonalbank,1,1,CH,TRUE
6483,Aargauische Pensionskasse,CA100+,Climate change,IQ34297044,Aargauische Pensionskasse,CH,Financials,Aargauische Pensionskasse,1,1,CH,TRUE
703,Aavishkaar Capital,UNPRI,General,IQ414934397,Aavishkaar Capital Advisors LLP,IN,Financials,Aavishkaar Group,1,2,IN,TRUE
10082,Aavishkaar Group,Global Impact Investment Network,,IQ662513924,Aavishkaar Group,IN,0,Aavishkaar Group,1,2,,
9940,AB,Climate Bonds Initiative,,WSE:ABE,AB S.A.,PL,Information Technology,AB S.A.,1,1,,
6885,AB AllianceBernstein,FAIRR,General,IQ249248,AllianceBernstein Holding L.P.,US,Financials,AllianceBernstein Holding L.P.,1,1,GB,FALSE
8082,AB InBev,TNFD Forum,Climate Change,IQ289634104,Ab Inbev,LU,0,Anheuser-Busch InBev SA/NV,2,2,,
10083,AB InBEV Foundation,Global Impact Investment Network,,IQ289634104,Ab Inbev,LU,0,Anheuser-Busch InBev SA/NV,2,2,,
704,AB Invalda INVL,UNPRI,General,IQ9221925,"Invalda INVL, AB",LT,Financials,"Invalda INVL, AB",1,1,LT,TRUE
