Initiative,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present
Asia Investor Group on Climate Change,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Asset Owner Alliance,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Banking Environment Initiative,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
CA100+,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Ceres Investor Network on Climate Risk and Sustainability,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Climate Bonds Initiative,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
ClimateWise Principles,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Equator Principles,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Finance for Biodiversity Pledge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Green Bank Network,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Institutional Investor Group on Climate Change,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Investment Leaders Group,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Investor Group on Climate Change,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Investor Leadership Network,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
Mainstreaming Climate in Financial Institutions,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Montreal Carbon Pledge,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Natural Capital Declaration (NCFI),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Net Zero Asset Managers Initiative,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Net-Zero Banking Alliance,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Net-Zero Insurance Alliance,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Paris Aligned Asset Owners,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PBAF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PCAF,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Principles for Responsible Banking,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Principles for Sustainable Insurance,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sustainable Blue Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
TNFD Forum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
UNPRI,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
