company,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present
Norges Bank Investment Management,False,False,False,False,False,False,False
ABP/APG,False,False,False,False,False,False,False
PGGM/PFZW,False,False,False,False,False,False,False
Turkey Wealth Fund,False,False,False,False,False,False,False
Caisse des Dépôts,False,False,False,True,True,True,True
MN,False,True,False,True,True,True,True
Kommunal Landspensjonskasse (KLP),False,False,False,False,False,False,False
Bayerische Versorgungskammer (BVK),False,True,False,True,True,False,False
Covéa,False,True,False,False,False,False,False
Alecta,False,False,False,True,True,False,False
Swedish Fund Selection Agency,False,False,False,False,False,False,False
Shell Asset Management Company,False,True,False,False,False,False,False
ATP,False,True,False,True,True,True,False
Universities Superannuation Scheme,False,False,False,True,True,True,False
AP Fonden 7,False,False,False,False,False,False,False
European Investment Bank,False,False,False,True,True,True,True
PFA Pension,False,True,False,True,True,True,False
PMT,False,False,False,False,False,False,True
AGIRC ARRCO,False,False,False,False,False,False,False
Border to Coast Pensions Partnership,False,True,False,True,True,True,False
Nordea Life & Pension,False,False,False,True,True,False,True
Ilmarinen,False,False,False,False,False,False,False
AMF Pension,False,False,False,True,True,False,False
bpfBouw,False,False,False,False,False,False,False
KEVA,False,True,False,True,True,True,False
PensionDanmark,False,True,False,True,True,True,True
Swiss Federal Pension Fund PUBLICA,False,False,False,True,True,True,False
AP Fonden 3,False,False,False,False,False,False,False
Danica Pension,False,True,False,True,True,False,False
Länsförsäkringar,False,True,False,True,True,False,False
Railpen Investments ,False,False,False,False,False,False,False
AP Fonden 1,False,False,False,False,False,False,False
Fonds de compensation AVS,False,False,False,False,False,False,False
Electricity Supply Pension Scheme,False,False,False,False,False,False,False
ERAFP,False,False,False,True,True,True,True
Suva,False,True,False,False,False,False,False
Varma,False,False,False,False,False,False,False
Versorgungsanstalt des Bundes und der Länder (VBL),False,False,False,False,False,False,False
Sampension,False,False,False,True,True,True,False
PKA Pension Fund,False,False,False,False,False,False,False
AP Fonden 2,False,False,False,False,False,False,False
PME,False,True,False,True,False,False,True
Pension Insurance Corporation,False,True,False,False,False,False,False
Northern LGPS,False,False,False,False,False,False,False
Folksam,False,True,False,True,True,False,True
Wellcome Trust,False,False,False,True,True,True,False
AP Fonden 4,False,False,False,False,False,False,False
BT Pension Scheme,False,True,False,True,True,True,False
Natwest Group Pension Scheme,False,False,False,False,False,False,False
Brunel Pension Partnership,False,False,False,True,True,True,False
BP Pension UK,False,False,False,False,False,False,False
Royal Bank of Scotland Group,False,False,False,False,False,False,False
BVK Personalvorsorge des Kantons Zürich,False,False,False,False,False,False,False
The Pension Protection Fund,False,True,False,True,True,True,False
HSBC Bank Pension Trust UK,False,True,False,True,False,False,False
Pensioenfonds Detailhandel,False,True,False,True,True,False,False
BVV Pension Fund,False,False,False,False,False,False,False
National Employment Savings Trust (NEST),False,True,False,False,False,False,False
Folketrygdfondet - Government Pension Fund Norway Domestic,False,False,False,False,False,False,False
Greater Manchester Pension Fund,False,True,False,True,True,True,False
Velliv,False,True,False,True,True,True,False
Strathclyde Pension Funds,False,True,False,True,True,True,False
Industriens Pension Fund,False,True,False,True,True,True,False
Barclays Bank UK Retirement Fund,False,True,False,True,True,True,False
UBS Pension Fund,False,False,False,False,False,False,False
London CIV - Collective Investment Vehicle,False,False,False,False,False,False,False
Local Government Pension Scheme (LGPS Central),False,False,False,False,False,False,False
Retraites Populaires,False,False,False,False,False,False,False
PGB Pension Fund/Pensioenfonds PGB,False,False,False,True,False,False,False
Migros-Pensionskasse,False,False,False,False,False,False,False
Elo Mutual Pension Insurance Company,False,True,False,True,True,True,False
Pensioenfonds Vervoer,False,True,False,False,False,False,False
Local Pensions Partnership Investments (LPPI),False,False,False,False,False,False,False
BAE Systems Pension Fund,False,False,False,False,False,False,False
Siemens,False,False,False,False,False,False,False
ING Pensioenfonds,False,False,False,False,False,False,False
