company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets,validation,cosine_similarity_best,matched_company_in_memberships,membership_1,type_1,membership_2,type_2,membership_3,type_3,membership_4,type_4,membership_5,type_5,membership_6,type_6,membership_7,type_7,membership_8,type_8
Norges Bank Investment Management,Norges-Bank-Annual-Report-2023,1,True,True,False,True,True,False,False,English,Norway,1238.0,0,0.814626728421444,Norges Bank Investment Management (NBIM),,,,,,,,,,,,,,,,
ABP/APG,ABP-Annual-Report-2023,2,False,True,False,True,False,False,False,Dutch,Netherlands,584.0,0,0.7222129131335542,APG,,,,,,,,,,,,,,,,
PGGM/PFZW,PGGM-Annual-Report-2023,3,True,True,False,True,True,False,False,English,Netherlands,257.0,1,0.7191968718663821,PFZW,,,,,,,,,,,,,,,,
Turkey Wealth Fund,TWF-Annual-Report-2022,4,True,True,True,False,True,True,False,English,Turkey,171.0,1,0.624000030037463,Turkey Growth Fund IV L.P.,,,,,,,,,,,,,,,,
Caisse des Dépôts,Caisse-Annual-Report-2023,5,True,True,True,True,True,True,False,English,France,166.0,0,1.0000000000000002,Caisse des Dépôts,Natural Capital Declaration (NCFI),Biodiversity,CA100+,Climate change,Asset Owner Alliance,Asset Owner Alliance,Finance for Biodiversity Pledge,Biodiversity,TNFD Forum,Climate Change,Montreal Carbon Pledge,,Institutional Investor Group on Climate Change,Climate,,
MN,MN-Annual-Report-2023,6,True,True,True,True,True,False,False,Dutch,Netherlands,152.0,0,1.0000000000000002,MN,Natural Capital Declaration (NCFI),Biodiversity,UNPRI,General,CA100+,Climate change,PBAF,Biodiversity,PCAF,Climate Change,Global Impact Investment Network,,Montreal Carbon Pledge,,Institutional Investor Group on Climate Change,Climate
Kommunal Landspensjonskasse (KLP),KLP-Annual-Report-2023,7,True,True,True,True,True,False,False,English,Norway,135.0,0,0.6976006645746582,KLP (Kommunal landspensjonskasse gjensidig forsikringsselskap),,,,,,,,,,,,,,,,
Bayerische Versorgungskammer (BVK),BVK-Annual-Report-2023,8,True,True,True,True,True,False,False,English,Germany,120.0,0,0.9455088770757178,Bayerische Versorgungskammer,UNPRI,General,Asset Owner Alliance,Asset Owner Alliance,,,,,,,,,,,,
Covéa,Covea-Annual-Report-2022,9,True,True,True,False,True,True,False,English,France,118.0,0,1.0,Covéa,UNPRI,General,,,,,,,,,,,,,,
Alecta,Alecta-annual-and-sustainability-report-2023,10,False,True,False,False,False,False,False,English,Sweden,113.0,0,1.0000000000000002,Alecta,CA100+,Climate change,Asset Owner Alliance,Asset Owner Alliance,,,,,,,,,,,,
Swedish Fund Selection Agency,FTN-Procurement-Report-2024,11,False,True,False,False,False,False,False,English,Sweden,108.0,0,0.6806919842534328,Swedish Pensions Agency,,,,,,,,,,,,,,,,
Shell Asset Management Company,,12,,,,,,,,,Netherlands,104.0,0,0.9613264618961747,Shell Asset Management Company B.V.,UNPRI,General,,,,,,,,,,,,,,
ATP,ATP-Annual-Report-2023,13,True,True,True,False,True,True,True,English,Denmark,102.0,0,1.0,ATP,UNPRI,General,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
Universities Superannuation Scheme,USS-Report-and-Accounts-2023,14,True,True,False,True,False,False,False,English,UK,95.0,1,0.9999999999999999,Universities Superannuation Scheme,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,,,
AP Fonden 7,ap7-annual-and-sustainability-report-2023,15,True,True,False,True,True,True,False,English,Sweden,88.0,0,0.6671093374927402,Andra AP-Fonden,,,,,,,,,,,,,,,,
European Investment Bank,,16,,,,,,,,,Luxembourg,87.0,0,0.9999999999999998,European Investment Bank,TNFD Forum,Climate Change,Mainstreaming Climate in Financial Institutions,,,,,,,,,,,,,
PFA Pension,,17,,,,,,,,,Denmark,87.0,0,1.0,PFA Pension,UNPRI,General,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,
PMT,243399-pmt-jv2023-v234-pdfa,18,True,True,False,False,False,False,False,Dutch,Netherlands,85.0,0,1.0,PMT,PBAF,Biodiversity,,,,,,,,,,,,,,
AGIRC ARRCO,AGIRC-ARRCO-Rapport-Gestion-2023-pages-simples,19,False,True,False,False,False,True,False,French,France,76.0,0,0.8093833856763968,Fédération Agirc-Arrco,,,,,,,,,,,,,,,,
Border to Coast Pensions Partnership,Border-to-Coast-Annual-Report-22_23,20,True,True,False,True,True,True,True,English,UK,76.0,0,1.0000000000000002,Border to Coast Pensions Partnership,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,UNPRI,General,Net Zero Asset Managers Initiative,Climate Change,,,,,,,,
Nordea Life & Pension,annual-report-nordea-bank-abp-2023,21,False,True,False,False,False,False,False,English,Finland,75.0,0,0.9999999999999999,Nordea Life & Pension,CA100+,Climate change,Asset Owner Alliance,Asset Owner Alliance,TNFD Forum,Climate Change,,,,,,,,,,
Ilmarinen,annual_and_sustainability_report_2023,22,True,True,False,True,True,False,False,English,Finland,74.0,1,0.7108514498207746,Ilmarinen Mutual Pension Insurance Company,,,,,,,,,,,,,,,,
AMF Pension,amf_annual_report_and_sustainability_report_2023,23,True,True,False,True,True,True,False,English,Sweden,71.0,0,1.0,AMF Pension,Asset Owner Alliance,Asset Owner Alliance,,,,,,,,,,,,,,
bpfBouw,bpfBouw-Annual-Report-2023,24,True,True,False,False,True,False,False,Dutch,Netherlands,70.0,0,0.22657961566677456,Bpf Bouw Stichting Bedrijfstakpensioenfonds voor de Bouwnijverheid,,,,,,,,,,,,,,,,
KEVA,Keva-Annual-Report-2023,25,False,True,False,False,False,False,False,English,Finland,69.0,0,1.0,Keva,UNPRI,General,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
PensionDanmark,PensionDanmark-Annual-Report-2023,26,True,True,False,True,True,False,False,English,Denmark,69.0,0,1.0,PensionDanmark,UNPRI,General,Asset Owner Alliance,Asset Owner Alliance,Finance for Biodiversity Pledge,Biodiversity,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,
Swiss Federal Pension Fund PUBLICA,Publica-Annual-Report-2023,27,True,True,False,False,False,False,False,English,Switzerland,68.0,0,1.0000000000000004,Swiss Federal Pension Fund PUBLICA,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,
AP Fonden 3,AP-Fonden-3-Annual-Report-2023,28,False,True,False,False,True,False,True,English,Sweden,67.0,0,0.6671093374927402,Andra AP-Fonden,,,,,,,,,,,,,,,,
Danica Pension,Danica-Pension-Annual-Report-2023,29,True,True,False,False,True,True,False,English,Denmark,67.0,0,1.0000000000000002,Danica Pension,UNPRI,General,Asset Owner Alliance,Asset Owner Alliance,,,,,,,,,,,,
Länsförsäkringar,Lansforsakringar-Alliance-Annual-Report-2023,30,True,True,False,False,True,True,False,English,Sweden,66.0,0,1.0,Länsförsäkringar,CA100+,Climate change,FAIRR,General,UNPRI,General,Montreal Carbon Pledge,,,,,,,,,
Railpen Investments ,Railpen-Annual-Report-2023,31,True,True,False,True,True,True,False,English,UK,65.0,0,0.849890628529594,Railpen,,,,,,,,,,,,,,,,
AP Fonden 1,AP-Fonden-1-Annual-Report-2023,32,True,True,False,False,True,False,False,English,Sweden,64.0,0,0.6784503912011113,Andra AP-Fonden,,,,,,,,,,,,,,,,
Fonds de compensation AVS,Compenswiss-Annual-Report-2023,33,False,True,False,False,True,True,False,French,Switzerland,64.0,0,0.5854473691770602,Accident Compensation Corporation,,,,,,,,,,,,,,,,
Electricity Supply Pension Scheme,Electricty-Supply-Pension-Annual-Report-2023,34,False,True,False,False,False,False,False,English,UK,63.0,0,0.4402211688445546,BT Pension Scheme,,,,,,,,,,,,,,,,
ERAFP,ERAPF-Annual-Report-2022,35,True,True,False,False,True,False,False,English,France,63.0,1,1.0,ERAFP,CA100+,Climate change,Asset Owner Alliance,Asset Owner Alliance,Finance for Biodiversity Pledge,Biodiversity,Institutional Investor Group on Climate Change,Climate,,,,,,,,
Suva,Suva-Annual-Report-2023,36,True,True,True,True,True,True,False,English,Switzerland,63.0,0,1.0,Suva,UNPRI,General,,,,,,,,,,,,,,
Varma,Varma-Annual-Report-2023,37,False,False,False,True,False,True,False,English,Finland,63.0,0,0.563810270202125,Mutual Pension Insurance Company Varma,,,,,,,,,,,,,,,,
Versorgungsanstalt des Bundes und der Länder (VBL),VBL-Annual-Report-2022,38,True,True,False,False,False,False,False,German,Germany,63.0,0,0.3053831009198747,Versorgungswerk der Landestierärztekammer Thüringen,,,,,,,,,,,,,,,,
Sampension,Sampension-2023,39,True,True,False,True,True,True,False,English,Denmark,60.0,0,1.0,Sampension,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,
PKA Pension Fund,PKA-2023,40,False,True,False,False,False,False,False,English,Denmark,59.0,0,0.6995125610620949,PKA,,,,,,,,,,,,,,,,
AP Fonden 2,AP-Fonden-2-2023,41,False,True,True,True,True,False,True,English,Sweden,58.0,1,0.6609466193572026,Andra AP-Fonden,,,,,,,,,,,,,,,,
PME,PME-2023-NL,42,True,True,False,False,True,False,False,Dutch,Netherlands,55.0,0,1.0000000000000002,PME,UNPRI,General,CA100+,Climate change,PBAF,Biodiversity,,,,,,,,,,
Pension Insurance Corporation,Pension-Insurance-Corporation-2023,43,True,True,False,True,False,True,False,English,UK,53.0,0,1.0000000000000002,Pension Insurance Corporation,UNPRI,General,,,,,,,,,,,,,,
Northern LGPS,Northern-LGPS-2023,44,True,True,False,True,True,False,False,English,UK,51.0,0,0.6458268302189797,Northern Trust,,,,,,,,,,,,,,,,
Folksam,Folksam-2023,45,True,True,True,False,True,True,True,English,Sweden,51.0,0,1.0000000000000004,Folksam,UNPRI,General,CA100+,Climate change,FAIRR,General,TNFD Forum,Climate Change,Montreal Carbon Pledge,,,,,,,
Wellcome Trust,Wellcome-Trust-2023,46,True,True,True,True,True,False,False,English,UK,48.0,0,0.9587659555323094,The Wellcome Trust,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,,,,,
AP Fonden 4,AP-Fonden-4,47,True,True,True,True,True,False,True,English,Sweden,47.0,0,0.6645883277980974,Andra AP-Fonden,,,,,,,,,,,,,,,,
BT Pension Scheme,BTPS-2023,48,True,True,False,True,False,False,False,English,UK,47.0,0,1.0,BT Pension Scheme,UNPRI,General,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
Natwest Group Pension Scheme,NetWest-2023,49,False,True,False,False,True,True,True,English,UK,46.0,0,0.8062013974522554,NatWest Group Pension Fund,,,,,,,,,,,,,,,,
Brunel Pension Partnership,Brunel-2023,50,True,True,True,True,True,False,True,English,UK,44.0,0,1.0000000000000007,Brunel Pension Partnership,CA100+,Climate change,FAIRR,General,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,,,
BP Pension UK,,51,,,,,,,,,UK,43.0,0,0.7727366881686384,BP Pension Fund,,,,,,,,,,,,,,,,
Royal Bank of Scotland Group,RBS-Annual-Report-2023,52,True,True,False,True,True,True,False,English,UK,43.0,0,0.5169500382228274,"Government of Scotland, UK",,,,,,,,,,,,,,,,
BVK Personalvorsorge des Kantons Zürich,BVK-Zürich-Annual-Report-2023,53,False,False,False,False,False,False,False,German,Switzerland,42.0,1,0.48172154825430774,Spida Personalvorsorgestiftung,,,,,,,,,,,,,,,,
The Pension Protection Fund,PPF-Annual-Report-2023,54,True,True,False,True,True,False,False,English,UK,41.0,0,0.9596416557643574,Pension Protection Fund,UNPRI,General,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
HSBC Bank Pension Trust UK,HSBC-Annual-Report-2023,55,True,True,False,True,True,True,False,English,UK,41.0,0,1.0,HSBC Bank Pension Trust (UK),UNPRI,General,Paris Aligned Asset Owners,Climate Change,,,,,,,,,,,,
Pensioenfonds Detailhandel,Pensioenfonds-Detailhandel-Annual-Report-2023,56,True,True,True,False,True,False,False,Dutch,Netherlands,37.0,1,1.0000000000000002,Pensioenfonds Detailhandel,UNPRI,General,Asset Owner Alliance,Asset Owner Alliance,,,,,,,,,,,,
BVV Pension Fund,BVV-Annual-Report-2023,57,False,True,False,False,False,False,False,German,Germany,37.0,0,0.5784227591803663,BP Pension Fund,,,,,,,,,,,,,,,,
National Employment Savings Trust (NEST),NEST-Annual-Report-2023,58,True,True,False,False,True,False,False,English,UK,37.0,1,1.0000000000000004,National Employment Savings Trust (NEST),UNPRI,General,,,,,,,,,,,,,,
Folketrygdfondet - Government Pension Fund Norway Domestic,,59,,,,,,,,,Norway,37.0,0,0.6183788593619178,Norwegian Government Pension Fund Norway (Norwegian Ministry of Finance and Folketrygdfondet),,,,,,,,,,,,,,,,
Greater Manchester Pension Fund,GMPF-Annual-Report-2023,60,True,True,False,True,True,True,False,English,UK,36.0,0,1.0,Greater Manchester Pension Fund,UNPRI,General,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
Velliv,Velliv-Annual-Report-2023,61,True,True,True,False,True,True,False,English,Denmark,36.0,0,1.0000000000000002,Velliv,UNPRI,General,CA100+,Climate change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
Strathclyde Pension Funds,Strathclyde-Annual-Report-2023,62,True,True,False,True,True,True,False,English,UK,35.0,0,0.9505360712571965,Strathclyde Pension Fund,UNPRI,General,CA100+,Climate change,FAIRR,General,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,
Industriens Pension Fund,Industriens-Annual-Report-2023,63,False,True,False,False,True,False,False,English,Denmark,35.0,0,0.9553772720209984,Industriens Pension,UNPRI,General,CA100+,Climate change,Asset Owner Alliance,Asset Owner Alliance,Institutional Investor Group on Climate Change,Climate,,,,,,,,
Barclays Bank UK Retirement Fund,Barclays-Pension-Annual-Report-2023,64,False,True,False,True,True,True,True,English,UK,34.0,0,0.9999999999999994,Barclays Bank UK Retirement Fund,UNPRI,General,Paris Aligned Asset Owners,Climate Change,Institutional Investor Group on Climate Change,Climate,,,,,,,,,,
UBS Pension Fund,UBP-Annual-Report-2023,65,True,True,False,False,True,True,False,English,Switzerland,34.0,0,0.6736232318675012,UBS,,,,,,,,,,,,,,,,
London CIV - Collective Investment Vehicle,LCIV-Annual-Report-2023,66,True,True,True,True,True,False,True,English,UK,34.0,0,0.5011456489944098,London CIV,,,,,,,,,,,,,,,,
